# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2112018396
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=testtraces_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,Q
-3998.24,0,3.73153,0,1,1,3998.77,0.923622,0.892352
-3997.5,0.972827,0.36866,2,7,0,3999.25,0.92909,0.895494
-3998.64,0.957623,0.357548,3,15,0,3999.23,0.916938,0.893793
-3998.32,0.904159,0.426526,2,5,0,4000.15,0.923175,0.898689
-3998.57,0.984561,0.497152,3,15,0,3998.92,0.924236,0.891782
-3999.19,0.956628,0.796758,2,3,0,3999.31,0.935409,0.895741
-3998.25,1,1.23454,2,3,0,3998.45,0.938063,0.890531
-3998.25,0.00435511,2.25823,1,1,0,3999.89,0.938063,0.890531
-3997.85,0.999763,0.181335,4,15,0,3998.41,0.936268,0.892206
-3997.62,0.998222,0.338947,3,7,0,3997.93,0.934123,0.892418
-3997.87,0.900944,0.636719,3,7,0,3998.44,0.933215,0.894583
-3997.58,0.48157,0.883508,2,3,0,3999.62,0.926257,0.892808
-3997.29,0.993435,0.329741,2,7,0,3998.03,0.930079,0.893894
-3997.07,0.838552,0.615673,2,7,0,3998.41,0.924322,0.895064
-3998.2,0.541415,0.708151,2,3,0,4000.2,0.93026,0.896371
-3998.11,0.99367,0.32654,3,15,0,4000.13,0.934385,0.890704
-3998.14,0.961175,0.60716,2,3,0,3998.68,0.936426,0.890647
-3997.9,0.838689,1.0149,1,3,0,3998.89,0.930633,0.891461
-3997.56,1,1.16552,2,3,0,3997.65,0.932718,0.893882
-3997.56,5.56665e-16,2.16175,1,1,0,3997.74,0.932718,0.893882
-3997.17,0.999383,0.206467,3,15,0,3998.18,0.926839,0.893975
-3998.62,0.939998,0.384268,3,15,0,3999.73,0.939315,0.893088
-3997.6,0.963893,0.595806,3,15,0,3999.15,0.927026,0.892614
-3998.94,0.962908,0.982633,3,7,0,3999.73,0.942347,0.891908
-3998.94,0.00388658,1.6027,1,1,0,3999.23,0.942347,0.891908
-4000.45,0.99902,0.171361,4,31,0,4002.08,0.949274,0.88722
-4000.08,1,0.311445,3,7,0,4000.63,0.948693,0.889863
-4000.05,0.823917,0.561963,1,3,0,4001.83,0.945034,0.887347
-3998.36,0.801288,0.61741,3,9,0,4002.94,0.917474,0.900042
-3998.23,0.996067,0.636581,3,9,0,3999.03,0.923898,0.892288
-3997.18,1,1.11343,1,1,0,3997.47,0.927908,0.894641
-3997.18,0.265565,1.95025,1,3,0,3998.56,0.927908,0.894641
-3997.86,0.88769,0.475691,3,11,0,4000.09,0.915927,0.899539
-3997.41,1,0.617299,3,7,0,3998.09,0.921765,0.897548
-3998.01,0.525999,1.07173,2,3,0,3998.71,0.916077,0.899778
-3998.29,0.998351,0.535628,3,7,0,3998.32,0.90867,0.897857
-3998.29,0.130161,0.918928,1,1,0,4000.19,0.90867,0.897857
-3998.58,0.999747,0.168112,4,15,0,3998.79,0.910599,0.901348
-3999.89,0.969804,0.289558,2,7,0,4000.44,0.901265,0.899058
-3998.51,0.986477,0.458529,3,11,0,4001.34,0.940287,0.890168
-3998.05,0.919827,0.751898,2,3,0,3998.92,0.936162,0.893511
