# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=890819740
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./testtraces_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,Q
-4084.41,0.726636,0.0199567,2,3,0,4084.87,0.89278,0.897702
-4082.7,0.951494,0.0178967,3,11,0,4086,0.901548,0.901116
-4083.57,0.891408,0.0242566,3,11,0,4083.97,0.896568,0.897455
-4083.48,0.992933,0.029384,3,9,0,4084.18,0.88346,0.903724
-4084.21,0.83406,0.68384,1,1,0,4084.29,0.880081,0.903891
-4084.21,0,7.27526,0,1,1,4084.44,0.880081,0.903891
-4084.63,0.450886,1.12436,2,5,0,4086.23,0.918855,0.892386
-4085.77,0.987512,0.350384,4,23,0,4085.9,0.882942,0.908731
-4082.96,1,0.483082,3,7,0,4086.06,0.893183,0.903665
-4084.24,0.786425,0.781485,2,3,0,4084.39,0.882028,0.902495
-4082.44,0.818666,0.707056,2,3,0,4085.51,0.89395,0.901903
-4083.06,0.831473,0.721673,2,3,0,4083.17,0.890662,0.900397
-4082.65,0.980264,0.779594,1,3,0,4083.07,0.893551,0.900176
-4082.65,0.00238004,1.36311,2,5,0,4085.27,0.893551,0.900176
-4083.31,0.998703,0.109179,5,51,0,4083.85,0.9109,0.894958
-4082.61,0.995634,0.205476,4,15,0,4083.86,0.907164,0.897207
-4084.35,0.89028,0.384508,2,3,0,4084.55,0.910499,0.900369
-4084.01,1,0.516843,1,1,0,4084.45,0.9102,0.90007
-4082.41,0.915748,0.978018,2,5,0,4084.2,0.899492,0.900889
-4082.38,0.468407,1.41718,2,5,0,4082.42,0.898967,0.899154
-4082.95,0.997459,0.516481,3,7,0,4082.99,0.910171,0.895992
-4082.68,0.876303,0.962202,2,3,0,4083.33,0.904472,0.90001
-4082.68,0.0296271,1.23111,3,7,0,4085.27,0.904472,0.90001
-4082.32,1,0.123173,4,15,0,4082.75,0.898588,0.899648
-4082.29,0.994524,0.23111,2,7,0,4082.62,0.89967,0.899919
-4082.61,0.992491,0.422556,3,9,0,4083.05,0.905517,0.897151
-4082.61,0.382785,0.760628,1,3,0,4086.2,0.905517,0.897151
-4083.14,0.994837,0.230482,4,23,0,4085.17,0.88645,0.904409
-4082.82,0.957528,0.415958,3,15,0,4086.09,0.889101,0.902033
-4082.46,0.997801,0.66819,3,7,0,4082.83,0.904975,0.898875
-4083.13,0.955344,1.1936,1,3,0,4083.54,0.910037,0.895396
-4083.13,0.130014,1.87407,1,1,0,4083.78,0.910037,0.895396
-4082.6,0.994354,0.293211,4,23,0,4084.53,0.892568,0.902757
-4082.8,0.951805,0.514947,2,5,0,4083.22,0.896498,0.902694
-4082.45,0.998425,0.797392,3,7,0,4083.31,0.895762,0.899958
-4082.45,0.0993633,1.39134,1,3,0,4083.08,0.895762,0.899958
-4082.57,0.989217,0.21352,3,7,0,4083.12,0.89667,0.899218
-4082.43,0.998838,0.364095,3,7,0,4082.72,0.897849,0.901397
-4082.35,1,0.631423,1,3,0,4082.46,0.895798,0.901161
-4083.12,0.584552,1.08875,2,5,0,4083.47,0.895923,0.898301
-4083.4,1,0.629668,2,7,0,4083.66,0.911393,0.89856
-4083.94,0.594922,1.07645,2,3,0,4084.59,0.916267,0.897048
-4083.18,0.918961,0.644772,3,7,0,4084.82,0.913262,0.896399
-4083.37,1,0.888984,2,3,0,4083.42,0.914737,0.895581
-4082.67,0.24688,1.49724,1,3,0,4085.84,0.897529,0.902166
-4083.21,0.967907,0.377572,2,3,0,4083.35,0.898486,0.902904
-4082.37,0.994499,0.586135,2,7,0,4083.27,0.897053,0.901306
-4083.32,0.565019,0.965519,1,1,0,4083.32,0.89159,0.89953
-4082.74,1,0.549723,2,3,0,4083.29,0.892278,0.900479
-4082.69,0.978183,0.911553,1,3,0,4083.11,0.889866,0.902448
-4082.52,1,1.4235,1,1,0,4082.7,0.892076,0.901826
-4082.93,0.557467,2.32816,1,1,0,4083.49,0.887632,0.902722
-4083.04,0.691927,1.31394,2,3,0,4083.15,0.89282,0.903877
-4083.04,0.00190061,1.02813,1,1,0,4085.53,0.89282,0.903877
-4083.04,0.00455141,1.26961,1,3,1,4088.38,0.89282,0.903877
-4083.04,9.26862e-110,2.98925,1,2,1,4083.88,0.89282,0.903877
-4082.87,0.999085,0.295462,3,15,0,4083.65,0.901887,0.897089
-4082.72,0.994292,0.307406,3,15,0,4083.24,0.900701,0.90142
-4082.47,0.997635,0.409346,2,7,0,4082.84,0.893656,0.900876
-4082.47,0.0623773,0.635492,1,1,0,4085.73,0.893656,0.900876
-4082.42,0.999856,0.0612587,4,31,0,4082.71,0.89381,0.901539
-4082.69,0.996889,0.104451,3,9,0,4083,0.896135,0.90254
-4082.53,0.997666,0.185144,4,31,0,4083.06,0.905752,0.898854
-4082.5,0.97776,0.338627,3,15,0,4083.6,0.892297,0.901799
-4084.16,0.768663,0.591106,2,5,0,4084.93,0.884759,0.906672
-4084.41,0.917834,0.537265,1,1,0,4084.52,0.885879,0.9069
-4084.41,0.0181036,0.786106,1,1,0,4087.57,0.885879,0.9069
-4084.64,0.997213,0.0685757,3,15,0,4085.4,0.886587,0.907069
-4084.19,1,0.13052,3,7,0,4084.71,0.884218,0.906752
-4085.34,0.985374,0.249651,4,23,0,4085.64,0.922854,0.891409
-4082.6,0.984042,0.453804,2,7,0,4086.58,0.906178,0.898951
-4082.86,0.943494,0.815996,2,7,0,4083.09,0.892585,0.900017
-4082.86,0.0381064,1.28763,2,3,0,4083.1,0.892585,0.900017
-4083.37,0.991097,0.132763,2,3,0,4083.43,0.891243,0.899588
-4082.3,1,0.243666,2,7,0,4083.34,0.897782,0.900435
-4082.32,0.993475,0.454931,1,3,0,4082.34,0.897336,0.900093
-4082.32,0.663045,0.825062,1,1,0,4082.59,0.897336,0.900093
-4083.13,0.881016,0.567165,2,7,0,4083.74,0.911254,0.895442
-4084.4,0.917689,0.735575,2,3,0,4084.45,0.920936,0.893771
-4084.62,0.858031,1.05493,1,1,0,4084.88,0.922097,0.894124
-4084.62,0.102207,1.27007,1,1,0,4085.45,0.922097,0.894124
-4082.91,0.998069,0.182449,4,15,0,4084.99,0.910946,0.896676
-4082.79,0.954784,0.328302,3,15,0,4084.46,0.905626,0.896606
-4083,0.99813,0.519086,2,3,0,4083.04,0.911442,0.897244
-4082.58,1,0.917185,1,3,0,4083.92,0.897532,0.898893
-4082.58,1.2907e-25,1.61359,1,1,0,4083.31,0.897532,0.898893
-4083.87,0.998318,0.190209,4,31,0,4084.15,0.917849,0.894397
-4082.5,0.991848,0.334315,3,15,0,4084.86,0.900152,0.89838
-4082.5,0.839946,0.57236,1,1,0,4082.86,0.900152,0.89838
-4082.42,0.937413,0.651601,2,7,0,4082.94,0.897092,0.901499
-4082.42,0.0653651,0.95456,2,7,0,4082.92,0.897092,0.901499
-4082.6,0.997318,0.145451,3,7,0,4082.63,0.898855,0.90166
-4082.5,0.999936,0.249889,5,31,0,4082.75,0.895419,0.9021
-4082.3,0.976461,0.428595,2,7,0,4082.77,0.897702,0.900376
-4082.46,0.546083,0.687041,3,7,0,4084.42,0.897081,0.89941
-4082.69,0.990367,0.371098,2,7,0,4082.71,0.900109,0.901521
-4082.85,0.941899,0.61211,1,3,0,4083.12,0.902778,0.901029
-4082.85,0.140106,0.888953,2,5,0,4085.49,0.902778,0.901029
-4082.34,0.99934,0.179094,4,15,0,4083.07,0.897377,0.901025
-4082.5,0.948368,0.300177,1,3,0,4083.13,0.894581,0.900233
-4082.43,0.994681,0.441416,2,7,0,4082.7,0.901801,0.900205
-4082.73,0.996511,0.721654,2,5,0,4082.99,0.889564,0.902229
-4082.73,0.0369495,1.1769,1,3,0,4084.05,0.889564,0.902229
-4082.79,0.99048,0.195603,4,23,0,4084.72,0.908656,0.898308
-4082.9,0.950028,0.315117,2,7,0,4083.78,0.90551,0.900121
-4083.05,0.988499,0.458814,2,5,0,4083.31,0.90758,0.899591
-4083.24,0.982272,0.726912,2,7,0,4085.68,0.888843,0.900866
-4083.24,0.133803,1.12837,1,3,0,4083.35,0.888843,0.900866
-4082.85,0.998712,0.248172,4,15,0,4084.13,0.888837,0.902055
-4083.18,0.981797,0.400372,2,3,0,4083.19,0.887173,0.901899
-4082.53,0.986521,0.61783,1,3,0,4083.39,0.893018,0.90093
-4082.98,0.211818,0.958356,3,7,0,4085.4,0.908744,0.89584
-4082.81,0.999146,0.260732,2,3,0,4083.01,0.90957,0.896592
-4084.13,0.926197,0.415848,3,7,0,4084.56,0.917413,0.896764
-4082.32,0.943522,0.561163,2,7,0,4085.38,0.89905,0.899441
-4082.37,0.831979,0.783819,3,7,0,4082.61,0.897916,0.901118
-4084.15,0.808897,0.854388,2,7,0,4084.74,0.913794,0.89326
-4082.9,0.291212,0.884765,2,5,0,4084.93,0.892244,0.900073
-4082.61,0.999457,0.299006,3,7,0,4082.98,0.892793,0.900677
-4082.45,1,0.468942,2,3,0,4082.58,0.89362,0.90107
-4082.97,0.96868,0.73254,2,7,0,4083.07,0.888514,0.904056
-4084.99,0.0622525,1.06522,1,3,0,4086.76,0.88588,0.899661
-4082.6,0.998592,0.226925,2,7,0,4085.18,0.894881,0.902512
-4082.52,0.997232,0.352157,3,15,0,4082.8,0.899135,0.8986
-4083.64,0.793394,0.542327,2,7,0,4084.53,0.895544,0.904212
-4083.3,1,0.543966,2,3,0,4083.59,0.887212,0.901559
-4083.6,0.427723,0.836631,2,7,0,4084.58,0.898943,0.896729
-4082.76,0.983624,0.3943,3,9,0,4084.7,0.895502,0.902816
-4083.05,0.899462,0.584714,2,5,0,4083.86,0.898388,0.897669
-4083.94,0.332437,0.727435,2,3,0,4085.25,0.9059,0.901566
-4083.22,0.995835,0.28602,2,3,0,4084.11,0.903881,0.901297
-4083.77,0.967596,0.432731,3,11,0,4085.4,0.912009,0.894007
-4082.43,0.854999,0.616029,2,7,0,4084.27,0.90234,0.898195
